id,x0,x1,x2,x3,x4,x5,x6,id.1,y,x0.1,x1.1,x2.1,x3.1,x4.1,x5.1
0,4,3,4,1,1,3,6,0,6,18,4,4,2,2,0
1,5,3,3,1,1,3,4,1,6,17,1,1,1,2,0
2,4,3,2,2,3,3,10,2,10,15,1,1,1,2,3
3,3,2,2,1,1,5,2,3,15,15,4,2,1,3,0
4,4,3,2,1,2,5,4,4,10,16,3,3,1,2,0
5,5,4,2,1,2,5,10,5,15,16,4,3,1,2,0
6,4,4,4,1,1,3,0,6,11,16,2,2,1,2,0
7,4,1,4,1,1,1,6,7,6,17,4,4,2,2,0
8,4,2,2,1,1,1,0,8,19,15,3,2,1,2,0
9,5,5,1,1,1,5,0,9,15,15,3,4,1,2,0
10,3,3,3,1,2,2,0,10,9,15,4,4,1,2,0
11,5,2,2,1,1,4,4,11,12,15,2,1,3,3,0
12,4,3,3,1,3,5,2,12,14,15,4,4,1,1,0
13,5,4,3,1,2,3,2,13,11,15,4,3,2,2,0
14,4,5,2,1,1,3,0,14,16,15,2,2,1,3,0
15,4,4,4,1,2,2,4,15,14,16,4,4,1,1,0
16,3,2,3,1,2,2,6,16,14,16,4,4,1,3,0
17,5,3,2,1,1,4,4,17,10,16,3,3,3,2,0
18,5,5,5,2,4,5,16,18,5,17,3,2,1,1,3
19,3,1,3,1,3,5,4,19,10,16,4,3,1,1,0
20,4,4,1,1,1,1,0,20,15,15,4,3,1,2,0
21,5,4,2,1,1,5,0,21,15,15,4,4,1,1,0
22,4,5,1,1,3,5,2,22,16,16,4,2,1,2,0
23,5,4,4,2,4,5,0,23,12,16,2,2,2,2,0
24,4,3,2,1,1,5,2,24,8,15,2,4,1,3,0
25,1,2,2,1,3,5,14,25,8,16,2,2,1,1,2
26,4,2,2,1,2,5,2,26,11,15,2,2,1,1,0
27,2,2,4,2,4,1,4,27,15,15,4,2,1,1,0
28,5,3,3,1,1,5,4,28,11,16,3,4,1,2,0
29,4,4,5,5,5,5,16,29,11,16,4,4,1,2,0
30,5,4,2,3,4,5,0,30,12,15,4,4,1,2,0
31,4,3,1,1,1,5,0,31,17,15,4,4,2,2,0
32,4,5,2,1,1,5,0,32,16,15,4,3,1,2,0
33,5,3,2,1,1,2,0,33,12,15,3,3,1,2,0
34,5,4,3,1,1,5,0,34,15,16,3,2,1,1,0
35,3,5,1,1,1,5,0,35,6,15,2,3,2,1,0
36,5,4,3,1,1,4,2,36,18,15,4,3,1,3,0
37,2,4,3,1,1,5,7,37,15,16,4,4,2,3,0
38,4,3,2,1,1,5,2,38,11,15,3,4,1,3,0
39,4,3,1,1,1,2,8,39,13,15,2,2,1,1,0
40,3,3,3,1,2,3,25,40,11,16,2,2,2,2,1
41,5,4,3,2,4,5,8,41,12,15,4,4,1,1,0
42,4,3,3,1,1,5,2,42,18,15,4,4,1,2,0
43,5,4,1,1,1,1,0,43,11,15,2,2,1,1,0
44,4,3,3,2,2,5,14,44,9,16,2,2,2,2,1
45,5,2,2,1,1,5,8,45,6,15,4,3,1,2,0
46,2,3,5,1,4,3,12,46,11,16,3,3,1,2,0
47,4,2,2,1,1,2,4,47,20,16,4,3,1,4,0
48,4,3,3,2,2,5,2,48,14,15,4,2,1,2,0
49,4,4,4,1,1,3,2,49,7,15,4,4,1,2,1
50,4,3,3,2,3,4,2,50,13,16,2,2,3,2,0
51,4,3,3,1,1,5,2,51,13,15,4,2,1,2,0
52,5,5,5,3,4,5,6,52,10,15,4,2,2,1,1
53,3,3,4,2,3,5,0,53,11,15,4,4,1,1,0
54,5,3,4,4,4,1,6,54,13,15,3,3,1,1,0
55,5,3,4,1,1,2,8,55,10,16,2,1,1,2,0
56,4,3,2,1,1,1,0,56,15,15,4,3,1,2,0
57,3,2,2,1,1,5,4,57,15,15,4,4,1,2,0
58,4,3,2,1,1,5,2,58,9,15,1,2,1,2,0
59,4,2,3,1,1,5,2,59,16,16,4,2,1,2,0
60,2,4,4,2,3,4,6,60,11,16,4,4,1,2,0
61,5,5,5,5,5,5,6,61,11,16,1,1,4,1,0
62,4,4,3,1,1,1,4,62,9,16,1,2,1,2,0
63,3,4,4,2,4,4,2,63,9,16,4,3,1,3,0
64,4,4,4,2,4,2,0,64,10,15,4,3,1,2,0
65,5,4,3,1,2,1,2,65,15,16,4,3,3,2,0
66,1,3,3,5,5,3,4,66,12,15,4,4,1,4,0
67,4,3,3,1,2,5,4,67,6,16,3,1,1,4,0
68,4,1,3,1,3,4,2,68,8,15,2,2,2,2,0
69,4,4,2,2,3,3,12,69,16,15,3,1,2,4,0
70,4,3,2,1,1,5,0,70,15,16,3,1,2,4,0
71,3,3,3,1,1,3,0,71,10,15,4,2,1,4,0
72,3,3,4,2,4,5,2,72,5,15,1,1,1,2,2
73,5,3,2,2,2,5,2,73,14,16,3,1,1,1,0
