id,x0,x1,x2,x3,x4,x5,x6,id.1,y,x0.1,x1.1,x2.1,x3.1,x4.1,x5.1
197,3,3,4,3,5,3,8,197,10,16,3,3,3,1,0
198,4,2,4,2,3,2,24,198,18,17,4,4,2,1,1
199,4,5,2,1,2,3,0,199,10,16,4,4,1,2,0
200,4,3,5,1,5,2,2,200,16,16,4,3,1,2,0
201,4,4,3,1,3,4,6,201,10,16,2,3,1,2,0
202,4,4,4,1,3,1,4,202,10,17,1,1,1,2,0
203,5,3,2,1,2,3,18,203,6,17,2,2,1,1,0
204,5,3,5,1,1,5,6,204,11,16,2,2,2,4,0
205,4,4,3,3,4,5,28,205,9,17,3,4,1,3,1
206,2,3,3,2,2,4,5,206,7,16,3,1,1,2,3
207,1,3,2,1,1,1,10,207,13,16,4,3,1,2,0
208,4,3,2,1,4,5,6,208,10,16,1,1,2,1,0
209,4,4,2,1,1,4,6,209,7,17,4,3,2,3,0
210,4,3,3,1,2,3,10,210,8,19,3,3,1,4,0
211,5,3,5,4,5,3,13,211,13,17,4,4,1,2,0
212,3,3,4,1,1,4,0,212,14,16,2,2,1,2,0
213,4,4,4,2,4,5,15,213,8,18,2,2,1,2,1
214,5,2,1,1,2,3,12,214,10,17,4,4,1,1,0
215,4,4,4,1,3,1,2,215,15,17,3,2,2,2,0
216,3,4,5,2,4,1,22,216,4,17,4,3,1,2,2
217,3,2,4,2,4,4,13,217,8,18,3,3,1,2,1
218,3,3,3,1,4,3,3,218,8,17,2,3,2,1,0
219,4,3,3,1,1,4,4,219,10,17,2,2,1,3,0
220,4,2,5,1,2,5,2,220,6,17,2,1,2,2,0
221,4,3,4,1,1,5,0,221,0,17,1,1,1,3,1
222,2,3,1,1,1,3,2,222,17,16,2,3,1,2,0
223,3,3,3,5,5,4,0,223,13,18,2,2,2,2,0
224,5,3,2,1,1,5,0,224,14,16,4,4,1,3,0
225,5,3,3,1,1,4,16,225,7,18,3,1,1,2,1
226,5,3,4,1,3,3,10,226,15,17,3,2,1,2,0
227,5,3,3,1,3,3,2,227,12,17,2,3,1,2,0
228,4,3,2,4,5,3,14,228,9,18,2,1,4,2,0
229,3,2,3,1,2,3,10,229,12,17,2,1,2,3,0
230,3,2,3,1,2,3,14,230,14,17,4,3,1,2,0
231,4,5,2,1,1,1,4,231,11,17,2,2,2,2,0
232,4,5,5,1,3,2,14,232,9,17,4,4,1,2,0
233,4,2,4,2,4,1,2,233,13,16,4,4,1,2,0
234,3,4,2,1,1,5,18,234,6,16,1,1,2,2,0
235,5,3,3,1,3,2,10,235,10,16,3,2,2,3,0
236,4,4,2,5,5,4,4,236,13,17,2,2,1,2,0
237,4,5,2,1,1,5,20,237,12,16,2,1,1,1,0
238,2,1,1,1,1,3,2,238,11,17,2,1,3,2,0
239,5,5,4,3,5,2,0,239,0,18,2,2,1,2,1
240,2,5,5,1,4,5,14,240,12,17,4,3,2,2,0
241,3,3,3,2,3,4,2,241,12,17,4,4,2,2,0
242,5,4,5,1,1,3,0,242,0,16,4,3,1,1,0
243,5,3,2,1,2,5,0,243,12,16,4,4,1,1,0
